sourcefiles/js/at.js: line 65, col 14, 'x' is already defined.
sourcefiles/js/openwebif.js: line 763, col 44, ['currservice_begin'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 763, col 86, ['currservice_end'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 764, col 30, ['currservice_fulldescription'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 768, col 27, ['transcoding'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 775, col 241, ['currservice_name'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 779, col 244, ['currservice_name'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 781, col 32, ['currservice_filename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 782, col 27, ['transcoding'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 789, col 59, ['currservice_name'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 791, col 50, ['currservice_name'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 793, col 41, ['currservice_description'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 809, col 48, ['volume'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 810, col 36, ['volume'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 815, col 23, ['muted'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 827, col 23, ['inStandby'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 833, col 23, ['isRecording'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 834, col 138, ['Recording_list'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 840, col 23, ['inStandby'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 885, col 50, ['message'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 912, col 50, ['message'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 1070, col 18, 'id' is already defined.
sourcefiles/js/openwebif.js: line 1789, col 29, ['sref'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 1789, col 67, ['sref'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 1791, col 47, ['begin'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 1792, col 47, ['end'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2048, col 22, ['servicereference'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2049, col 23, ['servicename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2050, col 77, ['servicename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2051, col 24, ['subservices'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2054, col 26, ['servicereference'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2065, col 69, ['servicename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2068, col 69, ['servicename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2070, col 89, ['servicename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2108, col 25, ['services'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2120, col 27, ['services'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2251, col 12, ['sRef'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2252, col 12, ['desc'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2253, col 12, ['title'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2264, col 72, Missing semicolon.

85 errors
